day,customer_1,customer_2,customer_3,customer_4
1,202,828,943,766
2,346,1131,1444,106
3,395,212,1986,172
4,600,38,3051,270
5,954,46,3665,417
6,1413,71,1943,379
7,2403,109,2841,633
8,3365,183,3517,1104
9,6142,293,6030,1399
10,8085,370,8413,2319
11,11268,660,10195,1637
12,16591,232,14828,2294
13,4923,360,28969,922
14,2583,186,14934,1263
15,3350,267,28113,2227
16,4597,444,31005,1285
17,1308,571,46535,2446
18,1817,686,58061,3181
19,2181,976,76974,4445
20,3658,542,25081,1076
21,2462,517,38201,675
22,3977,947,63465,817
23,6692,1723,75544,1470
24,9415,3053,112530,2523
25,13263,747,181590,3899
26,15427,820,240487,5452
27,617,1223,335859,8093
28,463,2130,31763,3773
29,904,3270,32209,6077
30,1719,4302,36530,9734
31,2062,6793,66039,14278
32,2668,13151,111456,23938
33,4488,6468,150157,32132
34,6630,3344,190626,57585
35,8245,3161,269383,60890
36,12781,5430,240715,80380
37,18368,9638,338795,66424
38,23458,16826,378655,102365
39,10073,25218,534845,63129
40,7649,29877,174708,107220
41,10853,51122,277700,15494
42,1045,80248,158923,20757
43,318,88209,255658,24040
44,334,127449,395209,30152
45,621,243039,487042,54948
46,836,426029,566351,79196
47,186,495243,787113,122561
48,41,151521,223185,51904
49,28,123122,96008,38162
50,46,148542,160951,55877
51,85,246096,259055,64610
52,133,317656,411083,92991
53,229,401949,473325,153871
54,419,223284,772014,215395
55,184,172535,190739,32122
56,271,19463,306159,16006
57,494,26407,532449,24625
58,549,33280,840222,40484
59,932,36154,1171064,68334
60,1287,54775,1327891,101663
61,2299,90137,433722,168447
62,619,45079,59975,150051
63,412,31792,37732,15731
64,124,59785,61821,7389
65,63,95833,82686,4352
66,101,25914,137034,7760
67,171,42595,200486,8687
68,270,56718,245122,13350
69,178,91349,70337,3630
70,109,70632,14972,4606
